image1,image2,ssim_score
cat_1130.png,cat_1160.png,1.000000
cat_1021.png,cat_1302.png,0.774103
cat_1021.png,cat_1105.png,0.727303
cat_1021.png,cat_1104.png,0.693880
cat_1082.png,cat_1302.png,0.693480
cat_1021.png,cat_1123.png,0.691325
cat_1011.png,cat_1021.png,0.686277
cat_1011.png,cat_1302.png,0.683341
cat_1040.png,cat_1220.png,0.683030
cat_1036.png,cat_1262.png,0.682105
cat_1021.png,cat_1082.png,0.680059
cat_1036.png,cat_1055.png,0.677207
cat_1021.png,cat_1050.png,0.676236
cat_1104.png,cat_1151.png,0.666834
cat_1040.png,cat_1104.png,0.666516
cat_1104.png,cat_1302.png,0.658153
cat_1021.png,cat_1304.png,0.657750
cat_1021.png,cat_1221.png,0.657234
cat_10.png,cat_1040.png,0.657000
cat_1040.png,cat_1177.png,0.655612
cat_1112.png,cat_1220.png,0.653877
cat_1040.png,cat_1098.png,0.652001
cat_1011.png,cat_1082.png,0.649452
cat_10.png,cat_1220.png,0.645547
cat_1021.png,cat_1177.png,0.643662
cat_1021.png,cat_1040.png,0.643121
cat_1040.png,cat_1167.png,0.641853
cat_1105.png,cat_1302.png,0.641630
cat_1040.png,cat_1112.png,0.640325
cat_1104.png,cat_1177.png,0.639983
cat_1093.png,cat_1220.png,0.639849
cat_1040.png,cat_1093.png,0.639217
cat_1040.png,cat_1302.png,0.638892
cat_1036.png,cat_1070.png,0.636797
cat_1021.png,cat_1213.png,0.636409
cat_1021.png,cat_1282.png,0.635948
cat_103.png,cat_1040.png,0.635768
cat_103.png,cat_1220.png,0.635762
cat_1221.png,cat_1302.png,0.635082
cat_1220.png,cat_1271.png,0.634134
cat_1040.png,cat_1271.png,0.632504
cat_1050.png,cat_1302.png,0.632142
cat_10.png,cat_1112.png,0.632109
cat_10.png,cat_124.png,0.632084
cat_1062.png,cat_1070.png,0.629966
cat_1040.png,cat_1127.png,0.629150
cat_1036.png,cat_1238.png,0.628851
cat_10.png,cat_1011.png,0.628549
cat_1104.png,cat_1271.png,0.628527
cat_1098.png,cat_1167.png,0.628474
cat_1104.png,cat_1304.png,0.627989
cat_1177.png,cat_1271.png,0.627845
cat_1127.png,cat_1220.png,0.627319
cat_1036.png,cat_1062.png,0.625308
cat_1167.png,cat_1220.png,0.622610
cat_1093.png,cat_1112.png,0.621412
cat_1086.png,cat_1177.png,0.621330
cat_1104.png,cat_1279.png,0.621322
cat_1050.png,cat_1104.png,0.621171
cat_1123.png,cat_1302.png,0.620947
cat_1151.png,cat_1271.png,0.620179
cat_1040.png,cat_1213.png,0.619066
cat_10.png,cat_1167.png,0.618848
cat_10.png,cat_1093.png,0.616671
cat_1021.png,cat_1151.png,0.616390
cat_1104.png,cat_1220.png,0.616033
cat_1040.png,cat_1279.png,0.615967
cat_103.png,cat_1112.png,0.615939
cat_1167.png,cat_1271.png,0.615734
cat_1021.png,cat_1210.png,0.615710
cat_1021.png,cat_1279.png,0.615288
cat_1302.png,cat_1304.png,0.614579
cat_1021.png,cat_1081.png,0.613819
cat_1021.png,cat_1039.png,0.613802
cat_1093.png,cat_1307.png,0.613620
cat_1040.png,cat_1091.png,0.612939
cat_1021.png,cat_108.png,0.612754
cat_1104.png,cat_1213.png,0.612651
cat_10.png,cat_1127.png,0.612639
cat_1105.png,cat_1177.png,0.612388
cat_1177.png,cat_1220.png,0.612335
cat_1040.png,cat_1199.png,0.611434
cat_1021.png,cat_1249.png,0.611062
cat_1167.png,cat_1199.png,0.611039
cat_1021.png,cat_1271.png,0.610706
cat_1021.png,cat_1250.png,0.610652
cat_1104.png,cat_1167.png,0.610565
cat_1055.png,cat_1266.png,0.610128
cat_1038.png,cat_1040.png,0.610124
cat_1282.png,cat_1302.png,0.609840
cat_1036.png,cat_1037.png,0.609695
cat_1127.png,cat_1271.png,0.609474
cat_1036.png,cat_1266.png,0.609442
cat_1121.png,cat_1203.png,0.608874
cat_1210.png,cat_1302.png,0.608856
cat_1021.png,cat_1045.png,0.608541
cat_1082.png,cat_1105.png,0.608138
cat_1093.png,cat_1177.png,0.607950
cat_1112.png,cat_1127.png,0.606845
cat_1093.png,cat_1271.png,0.606749
cat_1039.png,cat_1104.png,0.606667
cat_1213.png,cat_1302.png,0.606622
cat_1011.png,cat_1104.png,0.606059
cat_108.png,cat_1104.png,0.605933
cat_1220.png,cat_1279.png,0.605877
cat_1021.png,cat_1098.png,0.605085
cat_1040.png,cat_1082.png,0.604232
cat_1098.png,cat_1220.png,0.603967
cat_1011.png,cat_1040.png,0.603874
cat_1177.png,cat_1307.png,0.603401
cat_1105.png,cat_1210.png,0.602622
cat_1040.png,cat_1304.png,0.601719
cat_1104.png,cat_1105.png,0.600986
cat_1098.png,cat_1302.png,0.600966
cat_1177.png,cat_1302.png,0.600494
cat_1040.png,cat_1264.png,0.600122
cat_1112.png,cat_1177.png,0.600111
cat_1037.png,cat_1266.png,0.600051
cat_1021.png,cat_1220.png,0.599824
cat_103.png,cat_1104.png,0.599286
cat_103.png,cat_1039.png,0.598519
cat_1128.png,cat_1171.png,0.598334
cat_1040.png,cat_124.png,0.598019
cat_1104.png,cat_1133.png,0.597128
cat_1008.png,cat_1127.png,0.596942
cat_1082.png,cat_1127.png,0.596890
cat_1177.png,cat_1213.png,0.596556
cat_103.png,cat_1127.png,0.596293
cat_1271.png,cat_1279.png,0.596271
